location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,1,0,0,0,0,0,0,24,23,1
강남구,0,1,0,0,0,0,0,25,0,1
강남구,0,1,0,0,0,0,0,25,1,1
강남구,0,1,0,0,0,0,0,25,2,1
강남구,0,1,0,0,0,0,0,25,3,1
강남구,0,1,0,0,0,0,0,25,4,1
강남구,0,1,0,0,0,0,0,25,5,1
강남구,0,1,0,0,0,0,0,25,6,1
강남구,0,1,0,0,0,0,0,25,7,1
강남구,0,1,0,0,0,0,0,25,8,1
강남구,0,1,0,0,0,0,0,25,9,1
강남구,0,1,0,0,0,0,0,25,10,1
강남구,0,1,0,0,0,0,0,25,11,1
강남구,0,1,0,0,0,0,0,25,12,1
강남구,0,1,0,0,0,0,0,25,13,1
강남구,0,1,0,0,0,0,0,25,14,1
강남구,0,1,0,0,0,0,0,25,15,1
강남구,0,1,0,0,0,0,0,25,16,1
강남구,0,1,0,0,0,0,0,25,17,1
강남구,0,1,0,0,0,0,0,25,18,1
강남구,0,1,0,0,0,0,0,25,19,1
강남구,0,1,0,0,0,0,0,25,20,1
강남구,0,1,0,0,0,0,0,25,21,1
강남구,0,1,0,0,0,0,0,25,22,1
강남구,0,1,0,0,0,0,0,25,23,1
강남구,0,0,1,0,0,0,0,26,0,0
강남구,0,0,1,0,0,0,0,26,1,0
강남구,0,0,1,0,0,0,0,26,2,0
강남구,0,0,1,0,0,0,0,26,3,0
강남구,0,0,1,0,0,0,0,26,4,0
강남구,0,0,1,0,0,0,0,26,5,0
강남구,0,0,1,0,0,0,0,26,6,0
강남구,0,0,1,0,0,0,0,26,7,0
강남구,0,0,1,0,0,0,0,26,8,0
강남구,0,0,1,0,0,0,0,26,9,0
강남구,0,0,1,0,0,0,0,26,10,0
강남구,0,0,1,0,0,0,0,26,11,0
강남구,0,0,1,0,0,0,0,26,12,0
강남구,0,0,1,0,0,0,0,26,13,0
강남구,0,0,1,0,0,0,0,26,14,0
강남구,0,0,1,0,0,0,0,26,15,0
강남구,0,0,1,0,0,0,0,26,16,0
강남구,0,0,1,0,0,0,0,26,17,0
강남구,0,0,1,0,0,0,0,26,18,0
강남구,0,0,1,0,0,0,0,26,19,0
강남구,0,0,1,0,0,0,0,26,20,0
강남구,0,0,1,0,0,0,0,26,21,0
강남구,0,0,1,0,0,0,0,26,22,0
강남구,0,0,1,0,0,0,0,26,23,0
강남구,0,0,0,1,0,0,0,27,0,0
강남구,0,0,0,1,0,0,0,27,1,0
강남구,0,0,0,1,0,0,0,27,2,0
강남구,0,0,0,1,0,0,0,27,3,0
강남구,0,0,0,1,0,0,0,27,4,0
강남구,0,0,0,1,0,0,0,27,5,0
강남구,0,0,0,1,0,0,0,27,6,0
강남구,0,0,0,1,0,0,0,27,7,0
강남구,0,0,0,1,0,0,0,27,8,0
강남구,0,0,0,1,0,0,0,27,9,0
강남구,0,0,0,1,0,0,0,27,10,0
강남구,0,0,0,1,0,0,0,27,11,0
강남구,0,0,0,1,0,0,0,27,12,0
강남구,0,0,0,1,0,0,0,27,13,0
강남구,0,0,0,1,0,0,0,27,14,0
강남구,0,0,0,1,0,0,0,27,15,0
강남구,0,0,0,1,0,0,0,27,16,0
강남구,0,0,0,1,0,0,0,27,17,0
강남구,0,0,0,1,0,0,0,27,18,0
강남구,0,0,0,1,0,0,0,27,19,0
강남구,0,0,0,1,0,0,0,27,20,0
강남구,0,0,0,1,0,0,0,27,21,0
강남구,0,0,0,1,0,0,0,27,22,0
강남구,0,0,0,1,0,0,0,27,23,0
강남구,0,0,0,0,1,0,0,28,0,0
강남구,0,0,0,0,1,0,0,28,1,0
강남구,0,0,0,0,1,0,0,28,2,0
강남구,0,0,0,0,1,0,0,28,3,0
강남구,0,0,0,0,1,0,0,28,4,0
강남구,0,0,0,0,1,0,0,28,5,0
강남구,0,0,0,0,1,0,0,28,6,0
강남구,0,0,0,0,1,0,0,28,7,0
강남구,0,0,0,0,1,0,0,28,8,0
강남구,0,0,0,0,1,0,0,28,9,0
강남구,0,0,0,0,1,0,0,28,10,0
강남구,0,0,0,0,1,0,0,28,11,0
강남구,0,0,0,0,1,0,0,28,12,0
강남구,0,0,0,0,1,0,0,28,13,0
강남구,0,0,0,0,1,0,0,28,14,0
강남구,0,0,0,0,1,0,0,28,15,0
강남구,0,0,0,0,1,0,0,28,16,0
강남구,0,0,0,0,1,0,0,28,17,0
강남구,0,0,0,0,1,0,0,28,18,0
강남구,0,0,0,0,1,0,0,28,19,0
강남구,0,0,0,0,1,0,0,28,20,0
강남구,0,0,0,0,1,0,0,28,21,0
강남구,0,0,0,0,1,0,0,28,22,0
강남구,0,0,0,0,1,0,0,28,23,0
강남구,0,0,0,0,0,1,0,29,0,0
강남구,0,0,0,0,0,1,0,29,1,0
강남구,0,0,0,0,0,1,0,29,2,0
강남구,0,0,0,0,0,1,0,29,3,0
강남구,0,0,0,0,0,1,0,29,4,0
강남구,0,0,0,0,0,1,0,29,5,0
강남구,0,0,0,0,0,1,0,29,6,0
강남구,0,0,0,0,0,1,0,29,7,0
강남구,0,0,0,0,0,1,0,29,8,0
강남구,0,0,0,0,0,1,0,29,9,0
강남구,0,0,0,0,0,1,0,29,10,0
강남구,0,0,0,0,0,1,0,29,11,0
강남구,0,0,0,0,0,1,0,29,12,0
강남구,0,0,0,0,0,1,0,29,13,0
강남구,0,0,0,0,0,1,0,29,14,0
강남구,0,0,0,0,0,1,0,29,15,0
강남구,0,0,0,0,0,1,0,29,16,0
강남구,0,0,0,0,0,1,0,29,17,0
강남구,0,0,0,0,0,1,0,29,18,0
강남구,0,0,0,0,0,1,0,29,19,0
강남구,0,0,0,0,0,1,0,29,20,0
강남구,0,0,0,0,0,1,0,29,21,0
강남구,0,0,0,0,0,1,0,29,22,0
강남구,0,0,0,0,0,1,0,29,23,0
강남구,0,0,0,0,0,0,1,30,0,0
강남구,0,0,0,0,0,0,1,30,1,0
강남구,0,0,0,0,0,0,1,30,2,0
강남구,0,0,0,0,0,0,1,30,3,0
강남구,0,0,0,0,0,0,1,30,4,0
강남구,0,0,0,0,0,0,1,30,5,0
강남구,0,0,0,0,0,0,1,30,6,0
강남구,0,0,0,0,0,0,1,30,7,0
강남구,0,0,0,0,0,0,1,30,8,0
강남구,0,0,0,0,0,0,1,30,9,0
강남구,0,0,0,0,0,0,1,30,10,0
강남구,0,0,0,0,0,0,1,30,11,0
강남구,0,0,0,0,0,0,1,30,12,0
강남구,0,0,0,0,0,0,1,30,13,0
강남구,0,0,0,0,0,0,1,30,14,0
강남구,0,0,0,0,0,0,1,30,15,0
강남구,0,0,0,0,0,0,1,30,16,0
강남구,0,0,0,0,0,0,1,30,17,0
강남구,0,0,0,0,0,0,1,30,18,0
강남구,0,0,0,0,0,0,1,30,19,0
강남구,0,0,0,0,0,0,1,30,20,0
강남구,0,0,0,0,0,0,1,30,21,0
강남구,0,0,0,0,0,0,1,30,22,0
강남구,0,0,0,0,0,0,1,30,23,0
강동구,0,0,0,0,0,1,0,1,0,0
강동구,0,0,0,0,0,1,0,1,1,0
강동구,0,0,0,0,0,1,0,1,2,0
강동구,0,0,0,0,0,1,0,1,3,0
강동구,0,0,0,0,0,1,0,1,4,0
강동구,0,0,0,0,0,1,0,1,5,0
강동구,0,0,0,0,0,1,0,1,6,0
강동구,0,0,0,0,0,1,0,1,7,0
강동구,0,0,0,0,0,1,0,1,8,0
강동구,0,0,0,0,0,1,0,1,9,0
강동구,0,0,0,0,0,1,0,1,10,0
강동구,0,0,0,0,0,1,0,1,11,0
강동구,0,0,0,0,0,1,0,1,12,0
강동구,0,0,0,0,0,1,0,1,13,0
강동구,0,0,0,0,0,1,0,1,14,0
강동구,0,0,0,0,0,1,0,1,15,0
강동구,0,0,0,0,0,1,0,1,16,0
강동구,0,0,0,0,0,1,0,1,17,0
강동구,0,0,0,0,0,1,0,1,18,0
강동구,0,0,0,0,0,1,0,1,19,0
강동구,0,0,0,0,0,1,0,1,20,0
강동구,0,0,0,0,0,1,0,1,21,0
강동구,0,0,0,0,0,1,0,1,22,0
강동구,0,0,0,0,0,1,0,1,23,0
강동구,0,0,0,0,0,0,1,2,0,0
강동구,0,0,0,0,0,0,1,2,1,0
강동구,0,0,0,0,0,0,1,2,2,0
강동구,0,0,0,0,0,0,1,2,3,0
강동구,0,0,0,0,0,0,1,2,4,0
강동구,0,0,0,0,0,0,1,2,5,0
강동구,0,0,0,0,0,0,1,2,6,0
강동구,0,0,0,0,0,0,1,2,7,0
강동구,0,0,0,0,0,0,1,2,8,0
강동구,0,0,0,0,0,0,1,2,9,0
강동구,0,0,0,0,0,0,1,2,10,0
강동구,0,0,0,0,0,0,1,2,11,0
강동구,0,0,0,0,0,0,1,2,12,0
강동구,0,0,0,0,0,0,1,2,13,0
강동구,0,0,0,0,0,0,1,2,14,0
강동구,0,0,0,0,0,0,1,2,15,0
강동구,0,0,0,0,0,0,1,2,16,0
강동구,0,0,0,0,0,0,1,2,17,0
강동구,0,0,0,0,0,0,1,2,18,0
강동구,0,0,0,0,0,0,1,2,19,0
강동구,0,0,0,0,0,0,1,2,20,0
강동구,0,0,0,0,0,0,1,2,21,0
강동구,0,0,0,0,0,0,1,2,22,0
강동구,0,0,0,0,0,0,1,2,23,0
강동구,1,0,0,0,0,0,0,3,0,0
강동구,1,0,0,0,0,0,0,3,1,0
강동구,1,0,0,0,0,0,0,3,2,0
강동구,1,0,0,0,0,0,0,3,3,0
강동구,1,0,0,0,0,0,0,3,4,0
강동구,1,0,0,0,0,0,0,3,5,0
강동구,1,0,0,0,0,0,0,3,6,0
강동구,1,0,0,0,0,0,0,3,7,0
강동구,1,0,0,0,0,0,0,3,8,0
강동구,1,0,0,0,0,0,0,3,9,0
강동구,1,0,0,0,0,0,0,3,10,0
강동구,1,0,0,0,0,0,0,3,11,0
강동구,1,0,0,0,0,0,0,3,12,0
강동구,1,0,0,0,0,0,0,3,13,0
강동구,1,0,0,0,0,0,0,3,14,0
강동구,1,0,0,0,0,0,0,3,15,0
강동구,1,0,0,0,0,0,0,3,16,0
강동구,1,0,0,0,0,0,0,3,17,0
강동구,1,0,0,0,0,0,0,3,18,0
강동구,1,0,0,0,0,0,0,3,19,0
강동구,1,0,0,0,0,0,0,3,20,0
강동구,1,0,0,0,0,0,0,3,21,0
강동구,1,0,0,0,0,0,0,3,22,0
강동구,1,0,0,0,0,0,0,3,23,0
강동구,0,1,0,0,0,0,0,4,0,0
강동구,0,1,0,0,0,0,0,4,1,0
강동구,0,1,0,0,0,0,0,4,2,0
강동구,0,1,0,0,0,0,0,4,3,0
강동구,0,1,0,0,0,0,0,4,4,0
강동구,0,1,0,0,0,0,0,4,5,0
강동구,0,1,0,0,0,0,0,4,6,0
강동구,0,1,0,0,0,0,0,4,7,0
강동구,0,1,0,0,0,0,0,4,8,0
강동구,0,1,0,0,0,0,0,4,9,0
강동구,0,1,0,0,0,0,0,4,10,0
강동구,0,1,0,0,0,0,0,4,11,0
강동구,0,1,0,0,0,0,0,4,12,0
강동구,0,1,0,0,0,0,0,4,13,0
강동구,0,1,0,0,0,0,0,4,14,0
강동구,0,1,0,0,0,0,0,4,15,0
강동구,0,1,0,0,0,0,0,4,16,0
강동구,0,1,0,0,0,0,0,4,17,0
강동구,0,1,0,0,0,0,0,4,18,0
강동구,0,1,0,0,0,0,0,4,19,0
강동구,0,1,0,0,0,0,0,4,20,0
강동구,0,1,0,0,0,0,0,4,21,0
강동구,0,1,0,0,0,0,0,4,22,0
강동구,0,1,0,0,0,0,0,4,23,0
강동구,0,0,1,0,0,0,0,5,0,0
강동구,0,0,1,0,0,0,0,5,1,0
강동구,0,0,1,0,0,0,0,5,2,0
강동구,0,0,1,0,0,0,0,5,3,0
강동구,0,0,1,0,0,0,0,5,4,0
강동구,0,0,1,0,0,0,0,5,5,0
강동구,0,0,1,0,0,0,0,5,6,0
강동구,0,0,1,0,0,0,0,5,7,0
강동구,0,0,1,0,0,0,0,5,8,0
강동구,0,0,1,0,0,0,0,5,9,0
강동구,0,0,1,0,0,0,0,5,10,0
강동구,0,0,1,0,0,0,0,5,11,0
강동구,0,0,1,0,0,0,0,5,12,0
강동구,0,0,1,0,0,0,0,5,13,0
강동구,0,0,1,0,0,0,0,5,14,0
강동구,0,0,1,0,0,0,0,5,15,0
강동구,0,0,1,0,0,0,0,5,16,0
강동구,0,0,1,0,0,0,0,5,17,0
강동구,0,0,1,0,0,0,0,5,18,0
강동구,0,0,1,0,0,0,0,5,19,0
강동구,0,0,1,0,0,0,0,5,20,0
강동구,0,0,1,0,0,0,0,5,21,0
강동구,0,0,1,0,0,0,0,5,22,0
강동구,0,0,1,0,0,0,0,5,23,0
강동구,0,0,0,1,0,0,0,6,0,0
강동구,0,0,0,1,0,0,0,6,1,0
강동구,0,0,0,1,0,0,0,6,2,0
강동구,0,0,0,1,0,0,0,6,3,0
강동구,0,0,0,1,0,0,0,6,4,0
강동구,0,0,0,1,0,0,0,6,5,0
강동구,0,0,0,1,0,0,0,6,6,0
강동구,0,0,0,1,0,0,0,6,7,0
강동구,0,0,0,1,0,0,0,6,8,0
강동구,0,0,0,1,0,0,0,6,9,0
강동구,0,0,0,1,0,0,0,6,10,0
강동구,0,0,0,1,0,0,0,6,11,0
강동구,0,0,0,1,0,0,0,6,12,0
강동구,0,0,0,1,0,0,0,6,13,0
강동구,0,0,0,1,0,0,0,6,14,0
강동구,0,0,0,1,0,0,0,6,15,0
강동구,0,0,0,1,0,0,0,6,16,0
강동구,0,0,0,1,0,0,0,6,17,0
강동구,0,0,0,1,0,0,0,6,18,0
강동구,0,0,0,1,0,0,0,6,19,0
강동구,0,0,0,1,0,0,0,6,20,0
강동구,0,0,0,1,0,0,0,6,21,0
강동구,0,0,0,1,0,0,0,6,22,0
강동구,0,0,0,1,0,0,0,6,23,0
강동구,0,0,0,0,1,0,0,7,0,0
강동구,0,0,0,0,1,0,0,7,1,0
강동구,0,0,0,0,1,0,0,7,2,0
강동구,0,0,0,0,1,0,0,7,3,0
강동구,0,0,0,0,1,0,0,7,4,0
강동구,0,0,0,0,1,0,0,7,5,0
강동구,0,0,0,0,1,0,0,7,6,0
강동구,0,0,0,0,1,0,0,7,7,0
강동구,0,0,0,0,1,0,0,7,8,0
강동구,0,0,0,0,1,0,0,7,9,0
강동구,0,0,0,0,1,0,0,7,10,0
강동구,0,0,0,0,1,0,0,7,11,0
강동구,0,0,0,0,1,0,0,7,12,0
강동구,0,0,0,0,1,0,0,7,13,0
강동구,0,0,0,0,1,0,0,7,14,0
강동구,0,0,0,0,1,0,0,7,15,0
강동구,0,0,0,0,1,0,0,7,16,0
강동구,0,0,0,0,1,0,0,7,17,0
강동구,0,0,0,0,1,0,0,7,18,0
강동구,0,0,0,0,1,0,0,7,19,0
강동구,0,0,0,0,1,0,0,7,20,0
강동구,0,0,0,0,1,0,0,7,21,0
강동구,0,0,0,0,1,0,0,7,22,0
강동구,0,0,0,0,1,0,0,7,23,0
강동구,0,0,0,0,0,1,0,8,0,0
강동구,0,0,0,0,0,1,0,8,1,0
강동구,0,0,0,0,0,1,0,8,2,0
강동구,0,0,0,0,0,1,0,8,3,0
강동구,0,0,0,0,0,1,0,8,4,0
강동구,0,0,0,0,0,1,0,8,5,0
강동구,0,0,0,0,0,1,0,8,6,0
강동구,0,0,0,0,0,1,0,8,7,0
강동구,0,0,0,0,0,1,0,8,8,0
강동구,0,0,0,0,0,1,0,8,9,0
강동구,0,0,0,0,0,1,0,8,10,0
강동구,0,0,0,0,0,1,0,8,11,0
강동구,0,0,0,0,0,1,0,8,12,0
강동구,0,0,0,0,0,1,0,8,13,0
강동구,0,0,0,0,0,1,0,8,14,0
강동구,0,0,0,0,0,1,0,8,15,0
강동구,0,0,0,0,0,1,0,8,16,0
강동구,0,0,0,0,0,1,0,8,17,0
강동구,0,0,0,0,0,1,0,8,18,0
강동구,0,0,0,0,0,1,0,8,19,0
강동구,0,0,0,0,0,1,0,8,20,0
강동구,0,0,0,0,0,1,0,8,21,0
강동구,0,0,0,0,0,1,0,8,22,0
강동구,0,0,0,0,0,1,0,8,23,0
강동구,0,0,0,0,0,0,1,9,0,0
강동구,0,0,0,0,0,0,1,9,1,0
강동구,0,0,0,0,0,0,1,9,2,0
강동구,0,0,0,0,0,0,1,9,3,0
강동구,0,0,0,0,0,0,1,9,4,0
강동구,0,0,0,0,0,0,1,9,5,0
강동구,0,0,0,0,0,0,1,9,6,0
강동구,0,0,0,0,0,0,1,9,7,0
강동구,0,0,0,0,0,0,1,9,8,0
강동구,0,0,0,0,0,0,1,9,9,0
강동구,0,0,0,0,0,0,1,9,10,0
강동구,0,0,0,0,0,0,1,9,11,0
강동구,0,0,0,0,0,0,1,9,12,0
강동구,0,0,0,0,0,0,1,9,13,0
강동구,0,0,0,0,0,0,1,9,14,0
강동구,0,0,0,0,0,0,1,9,15,0
강동구,0,0,0,0,0,0,1,9,16,0
강동구,0,0,0,0,0,0,1,9,17,0
강동구,0,0,0,0,0,0,1,9,18,0
강동구,0,0,0,0,0,0,1,9,19,0
강동구,0,0,0,0,0,0,1,9,20,0
강동구,0,0,0,0,0,0,1,9,21,0
강동구,0,0,0,0,0,0,1,9,22,0
강동구,0,0,0,0,0,0,1,9,23,0
강동구,1,0,0,0,0,0,0,10,0,0
강동구,1,0,0,0,0,0,0,10,1,0
강동구,1,0,0,0,0,0,0,10,2,0
강동구,1,0,0,0,0,0,0,10,3,0
강동구,1,0,0,0,0,0,0,10,4,0
강동구,1,0,0,0,0,0,0,10,5,0
강동구,1,0,0,0,0,0,0,10,6,0
강동구,1,0,0,0,0,0,0,10,7,0
강동구,1,0,0,0,0,0,0,10,8,0
강동구,1,0,0,0,0,0,0,10,9,0
강동구,1,0,0,0,0,0,0,10,10,0
강동구,1,0,0,0,0,0,0,10,11,0
강동구,1,0,0,0,0,0,0,10,12,0
강동구,1,0,0,0,0,0,0,10,13,0
강동구,1,0,0,0,0,0,0,10,14,0
강동구,1,0,0,0,0,0,0,10,15,0
강동구,1,0,0,0,0,0,0,10,16,0
강동구,1,0,0,0,0,0,0,10,17,0
강동구,1,0,0,0,0,0,0,10,18,0
강동구,1,0,0,0,0,0,0,10,19,0
강동구,1,0,0,0,0,0,0,10,20,0
강동구,1,0,0,0,0,0,0,10,21,0
강동구,1,0,0,0,0,0,0,10,22,0
강동구,1,0,0,0,0,0,0,10,23,0
강동구,0,1,0,0,0,0,0,11,0,0
강동구,0,1,0,0,0,0,0,11,1,0
강동구,0,1,0,0,0,0,0,11,2,0
강동구,0,1,0,0,0,0,0,11,3,0
강동구,0,1,0,0,0,0,0,11,4,0
강동구,0,1,0,0,0,0,0,11,5,0
강동구,0,1,0,0,0,0,0,11,6,0
강동구,0,1,0,0,0,0,0,11,7,0
강동구,0,1,0,0,0,0,0,11,8,0
강동구,0,1,0,0,0,0,0,11,9,0
강동구,0,1,0,0,0,0,0,11,10,0
강동구,0,1,0,0,0,0,0,11,11,0
강동구,0,1,0,0,0,0,0,11,12,0
강동구,0,1,0,0,0,0,0,11,13,0
강동구,0,1,0,0,0,0,0,11,14,0
강동구,0,1,0,0,0,0,0,11,15,0
강동구,0,1,0,0,0,0,0,11,16,0
강동구,0,1,0,0,0,0,0,11,17,0
강동구,0,1,0,0,0,0,0,11,18,0
강동구,0,1,0,0,0,0,0,11,19,0
강동구,0,1,0,0,0,0,0,11,20,0
강동구,0,1,0,0,0,0,0,11,21,0
강동구,0,1,0,0,0,0,0,11,22,0
강동구,0,1,0,0,0,0,0,11,23,0
강동구,0,0,1,0,0,0,0,12,0,0
강동구,0,0,1,0,0,0,0,12,1,0
강동구,0,0,1,0,0,0,0,12,2,0
강동구,0,0,1,0,0,0,0,12,3,0
강동구,0,0,1,0,0,0,0,12,4,0
강동구,0,0,1,0,0,0,0,12,5,0
강동구,0,0,1,0,0,0,0,12,6,0
강동구,0,0,1,0,0,0,0,12,7,0
강동구,0,0,1,0,0,0,0,12,8,0
강동구,0,0,1,0,0,0,0,12,9,0
강동구,0,0,1,0,0,0,0,12,10,0
강동구,0,0,1,0,0,0,0,12,11,0
강동구,0,0,1,0,0,0,0,12,12,0
강동구,0,0,1,0,0,0,0,12,13,0
강동구,0,0,1,0,0,0,0,12,14,0
강동구,0,0,1,0,0,0,0,12,15,0
강동구,0,0,1,0,0,0,0,12,16,0
강동구,0,0,1,0,0,0,0,12,17,0
강동구,0,0,1,0,0,0,0,12,18,0
강동구,0,0,1,0,0,0,0,12,19,0
강동구,0,0,1,0,0,0,0,12,20,0
강동구,0,0,1,0,0,0,0,12,21,0
강동구,0,0,1,0,0,0,0,12,22,0
강동구,0,0,1,0,0,0,0,12,23,0
강동구,0,0,0,1,0,0,0,13,0,0
강동구,0,0,0,1,0,0,0,13,1,0
강동구,0,0,0,1,0,0,0,13,2,0
강동구,0,0,0,1,0,0,0,13,3,0
강동구,0,0,0,1,0,0,0,13,4,0
강동구,0,0,0,1,0,0,0,13,5,0
강동구,0,0,0,1,0,0,0,13,6,0
강동구,0,0,0,1,0,0,0,13,7,0
강동구,0,0,0,1,0,0,0,13,8,0
강동구,0,0,0,1,0,0,0,13,9,0
강동구,0,0,0,1,0,0,0,13,10,0
강동구,0,0,0,1,0,0,0,13,11,0
강동구,0,0,0,1,0,0,0,13,12,0
강동구,0,0,0,1,0,0,0,13,13,0
강동구,0,0,0,1,0,0,0,13,14,0
강동구,0,0,0,1,0,0,0,13,15,0
강동구,0,0,0,1,0,0,0,13,16,0
강동구,0,0,0,1,0,0,0,13,17,0
강동구,0,0,0,1,0,0,0,13,18,0
강동구,0,0,0,1,0,0,0,13,19,0
강동구,0,0,0,1,0,0,0,13,20,0
강동구,0,0,0,1,0,0,0,13,21,0
강동구,0,0,0,1,0,0,0,13,22,0
강동구,0,0,0,1,0,0,0,13,23,0
강동구,0,0,0,0,1,0,0,14,0,0
강동구,0,0,0,0,1,0,0,14,1,0
강동구,0,0,0,0,1,0,0,14,2,0
강동구,0,0,0,0,1,0,0,14,3,0
강동구,0,0,0,0,1,0,0,14,4,0
강동구,0,0,0,0,1,0,0,14,5,0
강동구,0,0,0,0,1,0,0,14,6,0
강동구,0,0,0,0,1,0,0,14,7,0
강동구,0,0,0,0,1,0,0,14,8,0
강동구,0,0,0,0,1,0,0,14,9,0
강동구,0,0,0,0,1,0,0,14,10,0
강동구,0,0,0,0,1,0,0,14,11,0
강동구,0,0,0,0,1,0,0,14,12,0
강동구,0,0,0,0,1,0,0,14,13,0
강동구,0,0,0,0,1,0,0,14,14,0
강동구,0,0,0,0,1,0,0,14,15,0
강동구,0,0,0,0,1,0,0,14,16,0
강동구,0,0,0,0,1,0,0,14,17,0
강동구,0,0,0,0,1,0,0,14,18,0
강동구,0,0,0,0,1,0,0,14,19,0
강동구,0,0,0,0,1,0,0,14,20,0
강동구,0,0,0,0,1,0,0,14,21,0
강동구,0,0,0,0,1,0,0,14,22,0
강동구,0,0,0,0,1,0,0,14,23,0
강동구,0,0,0,0,0,1,0,15,0,0
강동구,0,0,0,0,0,1,0,15,1,0
강동구,0,0,0,0,0,1,0,15,2,0
강동구,0,0,0,0,0,1,0,15,3,0
강동구,0,0,0,0,0,1,0,15,4,0
강동구,0,0,0,0,0,1,0,15,5,0
강동구,0,0,0,0,0,1,0,15,6,0
강동구,0,0,0,0,0,1,0,15,7,0
강동구,0,0,0,0,0,1,0,15,8,0
강동구,0,0,0,0,0,1,0,15,9,0
강동구,0,0,0,0,0,1,0,15,10,0
강동구,0,0,0,0,0,1,0,15,11,0
강동구,0,0,0,0,0,1,0,15,12,0
강동구,0,0,0,0,0,1,0,15,13,0
강동구,0,0,0,0,0,1,0,15,14,0
강동구,0,0,0,0,0,1,0,15,15,0
강동구,0,0,0,0,0,1,0,15,16,0
강동구,0,0,0,0,0,1,0,15,17,0
강동구,0,0,0,0,0,1,0,15,18,0
강동구,0,0,0,0,0,1,0,15,19,0
강동구,0,0,0,0,0,1,0,15,20,0
강동구,0,0,0,0,0,1,0,15,21,0
강동구,0,0,0,0,0,1,0,15,22,0
강동구,0,0,0,0,0,1,0,15,23,0
강동구,0,0,0,0,0,0,1,16,0,0
강동구,0,0,0,0,0,0,1,16,1,0
강동구,0,0,0,0,0,0,1,16,2,0
강동구,0,0,0,0,0,0,1,16,3,0
강동구,0,0,0,0,0,0,1,16,4,0
강동구,0,0,0,0,0,0,1,16,5,0
강동구,0,0,0,0,0,0,1,16,6,0
강동구,0,0,0,0,0,0,1,16,7,0
강동구,0,0,0,0,0,0,1,16,8,0
강동구,0,0,0,0,0,0,1,16,9,0
강동구,0,0,0,0,0,0,1,16,10,0
강동구,0,0,0,0,0,0,1,16,11,0
강동구,0,0,0,0,0,0,1,16,12,0
강동구,0,0,0,0,0,0,1,16,13,0
강동구,0,0,0,0,0,0,1,16,14,0
강동구,0,0,0,0,0,0,1,16,15,0
강동구,0,0,0,0,0,0,1,16,16,0
강동구,0,0,0,0,0,0,1,16,17,0
강동구,0,0,0,0,0,0,1,16,18,0
강동구,0,0,0,0,0,0,1,16,19,0
강동구,0,0,0,0,0,0,1,16,20,0
강동구,0,0,0,0,0,0,1,16,21,0
강동구,0,0,0,0,0,0,1,16,22,0
강동구,0,0,0,0,0,0,1,16,23,0
강동구,1,0,0,0,0,0,0,17,0,0
강동구,1,0,0,0,0,0,0,17,1,0
강동구,1,0,0,0,0,0,0,17,2,0
강동구,1,0,0,0,0,0,0,17,3,0
강동구,1,0,0,0,0,0,0,17,4,0
강동구,1,0,0,0,0,0,0,17,5,0
강동구,1,0,0,0,0,0,0,17,6,0
강동구,1,0,0,0,0,0,0,17,7,0
강동구,1,0,0,0,0,0,0,17,8,0
강동구,1,0,0,0,0,0,0,17,9,0
강동구,1,0,0,0,0,0,0,17,10,0
강동구,1,0,0,0,0,0,0,17,11,0
강동구,1,0,0,0,0,0,0,17,12,0
강동구,1,0,0,0,0,0,0,17,13,0
강동구,1,0,0,0,0,0,0,17,14,0
강동구,1,0,0,0,0,0,0,17,15,0
강동구,1,0,0,0,0,0,0,17,16,0
강동구,1,0,0,0,0,0,0,17,17,0
강동구,1,0,0,0,0,0,0,17,18,0
강동구,1,0,0,0,0,0,0,17,19,0
강동구,1,0,0,0,0,0,0,17,20,0
강동구,1,0,0,0,0,0,0,17,21,0
강동구,1,0,0,0,0,0,0,17,22,0
강동구,1,0,0,0,0,0,0,17,23,0
강동구,0,1,0,0,0,0,0,18,0,0
강동구,0,1,0,0,0,0,0,18,1,0
강동구,0,1,0,0,0,0,0,18,2,0
강동구,0,1,0,0,0,0,0,18,3,0
강동구,0,1,0,0,0,0,0,18,4,0
강동구,0,1,0,0,0,0,0,18,5,0
강동구,0,1,0,0,0,0,0,18,6,0
강동구,0,1,0,0,0,0,0,18,7,0
강동구,0,1,0,0,0,0,0,18,8,0
강동구,0,1,0,0,0,0,0,18,9,0
강동구,0,1,0,0,0,0,0,18,10,0
강동구,0,1,0,0,0,0,0,18,11,0
강동구,0,1,0,0,0,0,0,18,12,0
강동구,0,1,0,0,0,0,0,18,13,0
강동구,0,1,0,0,0,0,0,18,14,0
강동구,0,1,0,0,0,0,0,18,15,0
강동구,0,1,0,0,0,0,0,18,16,0
강동구,0,1,0,0,0,0,0,18,17,0
강동구,0,1,0,0,0,0,0,18,18,0
강동구,0,1,0,0,0,0,0,18,19,0
강동구,0,1,0,0,0,0,0,18,20,0
강동구,0,1,0,0,0,0,0,18,21,0
강동구,0,1,0,0,0,0,0,18,22,0
강동구,0,1,0,0,0,0,0,18,23,0
강동구,0,0,1,0,0,0,0,19,0,0
강동구,0,0,1,0,0,0,0,19,1,0
강동구,0,0,1,0,0,0,0,19,2,0
강동구,0,0,1,0,0,0,0,19,3,0
